DIA	MES	ANIO	T_MED_A	T_MAX_A	T_MIN_A	HR_MED	PRECIP	TANQUEA	VIENTO	HELIOF	PENMAN
3	9	2000	11.2	18.0	4.2	74.0	0.0	2.8	133.3	10.9	2.0

4	9	2000	12.3	19.3	6.0	58.0	0.0	4.6	135.8	10.8	2.6

5	9	2000	12.4	18.7	8.3	80.0	0.0	2.5	154.3	10.3	2.0

6	9	2000	14.4	20.9	6.7	74.0	0.0	6.2	415.8	9.5	3.4

7	9	2000	15.1	18.1	12.1	79.0	0.0	2.1	118.8	3.9	1.9

8	9	2000	17.4	24.5	11.7	85.0	9.0	4.5	282.4	4.2	2.2

9	9	2000	14.4	16.3	11.7	98.0	35.9	0.4	149.5	1.1	1.0

10	9	2000	16.1	21.0	12.4	91.0	24.8	2.8	344.9	0.0	1.6

11	9	2000	13.5	16.0	9.6	64.0	16.9	4.4	241.0	8.4	3.1

12	9	2000	9.5	11.7	7.8	64.0	0.0	2.3	172.1	0.3	2.2

13	9	2000	8.6	10.5	6.1	72.0	0.0	2.3	332.0	0.0	2.3

14	9	2000	8.9	10.3	8.3	90.0	0.0	2.5	233.4	0.0	1.2

15	9	2000	10.4	11.9	9.3	92.0	7.7	0.6	128.5	0.0	1.1

16	9	2000	10.5	13.8	8.1	87.0	0.0	1.8	192.4	7.0	1.8

17	9	2000	14.8	19.7	9.4	81.0	0.0	4.0	220.0	9.2	2.7

18	9	2000	16.3	20.5	12.5	92.0	0.0	1.7	78.0	1.5	1.4

19	9	2000	15.0	20.5	9.5	90.0	0.0	5.0	160.9	8.5	2.2

20	9	2000	14.7	18.4	12.0	94.0	36.7	1.5	597.2	0.0	1.6

21	9	2000	13.1	17.6	10.0	76.0	15.0	4.6	227.7	11.1	2.9

22	9	2000	12.3	18.6	5.8	76.0	0.0	7.2	229.9	11.0	2.9

23	9	2000	13.0	16.5	10.6	73.0	0.0	3.7	330.3	1.8	2.8

24	9	2000	7.9	10.6	5.2	73.0	0.0	2.8	159.6	3.3	1.9
25	9	2000	8.5	14.3	2.8	66.0	0.7	3.2	185.2	11.3	2.8

26	9	2000	11.1	18.0	4.3	69.0	0.0	4.4	275.2	10.9	3.3

27	9	2000	13.6	21.3	6.8	64.0	0.0	6.9	198.1	11.5	3.5

28	9	2000	17.1	25.1	9.1	67.0	0.0	4.4	159.3	11.4	3.7

29	9	2000	19.6	27.4	12.7	68.0	0.0	6.3	158.1	11.4	4.0

30	9	2000	18.8	26.8	14.8	75.0	0.0	5.4	180.9	7.1	3.3

1	10	2000	15.3	18.7	13.0	86.0	0.8	1.1	287.7	6.0	2.6

2	10	2000	12.1	13.0	9.8	94.0	0.0	0.7	420.7	0.0	1.4

3	10	2000	13.3	16.1	10.0	91.0	48.0	4.5	112.5	0.0	1.3

4	10	2000	12.7	15.5	10.0	82.0	0.5	2.2	188.0	6.8	2.5

5	10	2000	11.1	13.5	8.3	81.0	0.4	3.8	231.7	4.2	2.3

6	10	2000	12.3	17.5	6.3	69.0	0.0	5.0	0.0	10.6	2.5

7	10	2000	15.6	21.7	9.7	68.0	0.0	5.3	184.4	7.0	3.4

8	10	2000	18.1	23.5	12.1	72.0	0.0	8.7	447.4	10.7	5.1

9	10	2000	16.5	20.7	11.2	71.0	0.7	6.4	260.1	8.6	3.9

10	10	2000	14.8	20.9	7.7	66.0	0.0	6.3	148.1	11.1	3.7

11	10	2000	16.1	23.5	7.7	71.0	0.0	6.2	214.8	11.7	4.1

12	10	2000	17.4	24.5	11.5	70.0	0.0	7.3	235.2	11.7	4.4

13	10	2000	14.2	20.0	8.7	56.0	0.0	8.1	202.1	9.2	4.1

14	10	2000	13.8	19.0	7.6	57.0	0.0	6.6	366.7	8.8	5.0

15	10	2000	13.8	18.4	9.2	67.0	0.0	1.8	293.0	0.0	3.2

16	10	2000	15.7	21.2	13.6	92.0	1.8	1.4	122.5	0.0	1.5

17	10	2000	15.4	17.7	11.1	93.0	1.2	2.4	90.5	0.0	1.5

18	10	2000	16.6	23.6	10.2	85.0	0.0	4.4	103.0	11.0	3.4

19	10	2000	20.1	26.8	14.2	87.0	0.0	2.8	135.4	4.1	2.7

20	10	2000	20.6	25.7	17.4	87.0	0.4	5.3	109.6	7.9	3.4

21	10	2000	23.4	29.3	16.8	72.0	0.0	7.0	346.0	11.5	6.0

22	10	2000	19.4	22.1	15.5	87.0	56.0	1.4	271.3	0.0	2.3

23	10	2000	13.8	16.0	12.6	90.0	1.0	1.3	291.3	0.0	1.8

24	10	2000	14.9	17.0	12.4	87.0	0.3	2.0	245.4	0.4	2.0

25	10	2000	17.0	21.0	14.8	93.0	0.0	1.1	171.4	0.2	1.7

26	10	2000	19.3	21.7	17.5	96.0	4.8	4.0	255.8	0.0	1.7

27	10	2000	15.7	19.0	10.5	85.0	22.6	3.8	152.2	10.5	3.5

28	10	2000	11.7	18.6	8.2	80.0	0.0	3.1	159.1	6.0	2.7

29	10	2000	11.8	17.8	5.0	73.0	0.0	5.0	225.9	9.5	3.6

30	10	2000	18.9	26.4	10.8	73.0	0.2	6.0	235.0	8.2	4.4

31	10	2000	19.1	25.8	12.6	75.0	0.0	6.6	274.3	11.5	5.0

1	11	2000	17.6	19.7	15.9	81.0	0.0	0.5	147.3	0.0	2.3

2	11	2000	18.5	23.2	15.8	69.0	0.8	8.0	134.3	12.1	4.7

3	11	2000	17.6	22.6	11.4	55.0	0.0	7.1	117.2	9.8	4.6

4	11	2000	16.8	21.5	12.2	72.0	0.0	4.0	99.8	4.5	3.1

5	11	2000	17.8	24.8	12.6	79.0	0.0	5.1	98.5	7.7	3.5

6	11	2000	17.7	22.0	12.0	79.0	3.5	5.2	131.5	11.6	4.3

